X Y Z
91.741300 48.751100 2.000000
91.676400 48.766400 2.000000
91.611500 48.781800 2.000000
91.546700 48.797300 2.000000
91.481800 48.812800 2.000000
91.417000 48.828400 2.000000
91.352200 48.844100 2.000000
91.287500 48.859900 2.000000
91.222700 48.875700 2.000000
91.158000 48.891600 2.000000
91.093200 48.907600 2.000000
91.028500 48.923700 2.000000
90.963900 48.939800 2.000000
90.899200 48.956000 2.000000
90.834500 48.972300 2.000000
90.769900 48.988700 2.000000
90.705300 49.005200 2.000000
90.640700 49.021700 2.000000
90.576200 49.038300 2.000000
90.511600 49.055000 2.000000
90.447100 49.071800 2.000000
90.382600 49.088600 2.000000
90.318100 49.105500 2.000000
90.253700 49.122500 2.000000
90.189200 49.139600 2.000000
90.124800 49.156800 2.000000
90.060400 49.174000 2.000000
89.996000 49.191300 2.000000
89.931700 49.208700 2.000000
89.867300 49.226200 2.000000
89.803000 49.243700 2.000000
89.738700 49.261400 2.000000
89.674400 49.279100 2.000000
89.610200 49.296800 2.000000
89.546000 49.314700 2.000000
89.481700 49.332600 2.000000
89.417600 49.350600 2.000000
89.353400 49.368700 2.000000
89.289200 49.386900 2.000000
89.225100 49.405200 2.000000
89.161000 49.423500 2.000000
89.097000 49.441900 2.000000
89.032900 49.460400 2.000000
88.968900 49.479000 2.000000
88.904900 49.497600 2.000000
88.840900 49.516300 2.000000
88.776900 49.535100 2.000000
88.713000 49.554000 2.000000
88.649100 49.573000 2.000000
88.585200 49.592000 2.000000
88.521300 49.611100 2.000000
88.457500 49.630300 2.000000
88.393700 49.649600 2.000000
88.329900 49.669000 2.000000
88.266100 49.688400 2.000000
88.202300 49.707900 2.000000
88.138600 49.727500 2.000000
88.074900 49.747200 2.000000
88.011300 49.766900 2.000000
87.947600 49.786800 2.000000
87.884000 49.806700 2.000000
87.820400 49.826700 2.000000
87.756800 49.846700 2.000000
87.693300 49.866900 2.000000
87.629700 49.887100 2.000000
87.566200 49.907400 2.000000
87.502800 49.927800 2.000000
87.439300 49.948300 2.000000
87.375900 49.968800 2.000000
87.312500 49.989500 2.000000
87.249100 50.010200 2.000000
87.185800 50.031000 2.000000
87.122500 50.051800 2.000000
87.059200 50.072800 2.000000
86.995900 50.093800 2.000000
86.932700 50.114900 2.000000
86.869500 50.136100 2.000000
86.806300 50.157400 2.000000
86.743100 50.178700 2.000000
86.680000 50.200100 2.000000
86.616900 50.221700 2.000000
86.553800 50.243200 2.000000
86.490800 50.264900 2.000000
86.427800 50.286700 2.000000
86.364800 50.308500 2.000000
86.301800 50.330400 2.000000
86.238900 50.352400 2.000000
86.176000 50.374500 2.000000
86.113100 50.396600 2.000000
86.050200 50.418900 2.000000
85.987400 50.441200 2.000000
85.924600 50.463600 2.000000
85.861900 50.486000 2.000000
85.799100 50.508600 2.000000
85.736400 50.531200 2.000000
85.673700 50.554000 2.000000
85.611100 50.576800 2.000000
85.548500 50.599600 2.000000
85.485900 50.622600 2.000000
85.423300 50.645600 2.000000
85.360800 50.668800 2.000000
85.298300 50.692000 2.000000
85.235800 50.715200 2.000000
85.173400 50.738600 2.000000
85.111000 50.762100 2.000000
85.048600 50.785600 2.000000
84.986300 50.809200 2.000000
84.924000 50.832900 2.000000
84.861700 50.856600 2.000000
84.799400 50.880500 2.000000
84.737200 50.904400 2.000000
84.675000 50.928400 2.000000
84.612800 50.952500 2.000000
84.550700 50.976700 2.000000
84.488600 51.001000 2.000000
84.426600 51.025300 2.000000
84.364500 51.049700 2.000000
84.302500 51.074200 2.000000
84.240600 51.098800 2.000000
84.178600 51.123500 2.000000
84.116700 51.148200 2.000000
84.054800 51.173100 2.000000
83.993000 51.198000 2.000000
83.931200 51.223000 2.000000
83.869400 51.248000 2.000000
83.807700 51.273200 2.000000
83.746000 51.298400 2.000000
83.684300 51.323700 2.000000
83.622700 51.349100 2.000000
83.561100 51.374600 2.000000
83.499500 51.400200 2.000000
83.438000 51.425800 2.000000
83.376500 51.451600 2.000000
83.315000 51.477400 2.000000
83.253600 51.503300 2.000000
83.192200 51.529200 2.000000
83.130800 51.555300 2.000000
83.069500 51.581400 2.000000
83.008200 51.607700 2.000000
82.946900 51.634000 2.000000
82.885700 51.660300 2.000000
82.824500 51.686800 2.000000
82.763300 51.713300 2.000000
82.702200 51.740000 2.000000
82.641100 51.766700 2.000000
82.580100 51.793500 2.000000
82.519100 51.820400 2.000000
82.458100 51.847300 2.000000
82.397200 51.874400 2.000000
82.336300 51.901500 2.000000
82.275400 51.928700 2.000000
82.214600 51.956000 2.000000
82.153800 51.983300 2.000000
82.093000 52.010800 2.000000
82.032300 52.038300 2.000000
81.971700 52.065900 2.000000
81.911000 52.093600 2.000000
81.850400 52.121400 2.000000
81.789800 52.149300 2.000000
81.729300 52.177200 2.000000
81.668800 52.205300 2.000000
81.608400 52.233400 2.000000
81.548000 52.261600 2.000000
81.487600 52.289800 2.000000
81.427300 52.318200 2.000000
81.367000 52.346600 2.000000
81.306700 52.375200 2.000000
81.246500 52.403800 2.000000
81.186300 52.432400 2.000000
81.126200 52.461200 2.000000
81.066100 52.490100 2.000000
81.006000 52.519000 2.000000
80.946000 52.548000 2.000000
80.886000 52.577100 2.000000
80.826100 52.606300 2.000000
80.766200 52.635600 2.000000
80.706300 52.664900 2.000000
80.646500 52.694300 2.000000
80.586700 52.723900 2.000000
80.527000 52.753500 2.000000
80.467300 52.783100 2.000000
80.407600 52.812900 2.000000
80.348000 52.842700 2.000000
